Counts_,ICD-9 description_,Subgroups_,ICD-9
0,",Supervision of high-risk pregnancy with young primigravida                                                                      ,",,",V23.83                                                                                                                          ,"
0,",Pregnancy resulting from assisted reproductive technology                                                                       ,",,",V23.85                                                                                                                          ,"
0,",Supervision of other high-risk pregnancy                                                                                        ,",,",V23.89                                                                                                                          ,"
0,",Supervision of unspecified high-risk pregnancy                                                                                  ,",,",V23.9                                                                                                                           ,"
0,",Postpartum care and examination immediately after delivery                                                                      ,",,",V24.0                                                                                                                           ,"
0,",Encounter for insertion of intrauterine contraceptive device                                                                    ,",,",V25.11                                                                                                                          ,"
0,",Encounter for removal of intrauterine contraceptive device                                                                      ,",,",V25.12                                                                                                                          ,"
0,",Sterilization                                                                                                                   ,",,",V25.2                                                                                                                           ,"
0,",Surveillance of intrauterine contraceptive device                                                                               ,",,",V25.42                                                                                                                          ,"
0,",Artificial insemination                                                                                                         ,",,",V26.1                                                                                                                           ,"
0,",Tubal ligation status                                                                                                           ,",,",V26.51                                                                                                                          ,"
0,",Outcome of delivery, single liveborn                                                                                            ,",,",V27.0                                                                                                                           ,"
0,",Outcome of delivery, single stillborn                                                                                           ,",,",V27.1                                                                                                                           ,"
0,",Outcome of delivery, twins, both liveborn                                                                                       ,",,",V27.2                                                                                                                           ,"
0,",Outcome of delivery, twins, one liveborn and one stillborn                                                                      ,",,",V27.3                                                                                                                           ,"
0,",Outcome of delivery, twins, both stillborn                                                                                      ,",,",V27.4                                                                                                                           ,"
0,",Outcome of delivery, other multiple birth, all liveborn                                                                         ,",,",V27.5                                                                                                                           ,"
0,",Outcome of delivery, other multiple birth, all stillborn                                                                        ,",,",V27.7                                                                                                                           ,"
0,",Outcome of delivery, unspecified outcome of delivery                                                                            ,",,",V27.9                                                                                                                           ,"
0,",Other specified antenatal screening                                                                                             ,",,",V28.89                                                                                                                          ,"
0,",Observation for suspected infectious condition                                                                                  ,",,",V29.0                                                                                                                           ,"
0,",Observation for suspected neurological conditions                                                                               ,",,",V29.1                                                                                                                           ,"
0,",Observation and evaluation of newborn for suspected respiratory condition                                                       ,",,",V29.2                                                                                                                           ,"
0,",Observation for suspected genetic or metabolic condition                                                                        ,",,",V29.3                                                                                                                           ,"
0,",Observation for unspecified suspected conditions                                                                                ,",,",V29.9                                                                                                                           ,"
0,",Single liveborn, born before admission to hospital                                                                              ,",,",V30.1                                                                                                                           ,"
0,",Twin birth, mate stillborn, born in hospital, delivered without mention of cesarean section                                     ,",,",V32.00                                                                                                                          ,"
0,",Twin birth, mate stillborn, born in hospital, delivered by cesarean section                                                     ,",,",V32.01                                                                                                                          ,"
0,",Twin birth, unspecified whether mate liveborn or stillborn, born in hospital, delivered by cesarean section                     ,",,",V33.01                                                                                                                          ,"
0,",Other multiple birth (three or more), mates all liveborn, born in hospital, delivered without mention of cesarean section       ,",,",V34.00                                                                                                                          ,"
0,",Other multiple birth (three or more), mates all liveborn, born in hospital, delivered by cesarean section                       ,",,",V34.01                                                                                                                          ,"
0,",Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born in hospital, delivered by cesarean s,",,",V37.01                                                                                                                          ,"
0,",Mental and behavioral problems with learning                                                                                    ,",,",V40.0                                                                                                                           ,"
0,",Other behavioral problems                                                                                                       ,",,",V40.3                                                                                                                           ,"
0,",Wandering in diseases classified elsewhere                                                                                      ,",,",V40.31                                                                                                                          ,"
0,",Unspecified mental or behavioral problem                                                                                        ,",,",V40.9                                                                                                                           ,"
0,",Kidney replaced by transplant                                                                                                   ,",,",V42.0                                                                                                                           ,"
0,",Heart replaced by transplant                                                                                                    ,",,",V42.1                                                                                                                           ,"
0,",Heart valve replaced by transplant                                                                                              ,",,",V42.2                                                                                                                           ,"
0,",Cornea replaced by transplant                                                                                                   ,",,",V42.5                                                                                                                           ,"
0,",Lung replaced by transplant                                                                                                     ,",,",V42.6                                                                                                                           ,"
0,",Liver replaced by transplant                                                                                                    ,",,",V42.7                                                                                                                           ,"
0,",Bone marrow replaced by transplant                                                                                              ,",,",V42.81                                                                                                                          ,"
0,",Peripheral stem cells replaced by transplant                                                                                    ,",,",V42.82                                                                                                                          ,"
0,",Pancreas replaced by transplant                                                                                                 ,",,",V42.83                                                                                                                          ,"
0,",Other specified organ or tissue replaced by transplant                                                                          ,",,",V42.89                                                                                                                          ,"
0,",Eye globe replaced by other means                                                                                               ,",,",V43.0                                                                                                                           ,"
0,",Lens replaced by other means                                                                                                    ,",,",V43.1                                                                                                                           ,"
0,",Organ or tissue replaced by other means, heart assist device                                                                    ,",,",V43.21                                                                                                                          ,"
0,",Heart valve replaced by other means                                                                                             ,",,",V43.3                                                                                                                           ,"
0,",Blood vessel replaced by other means                                                                                            ,",,",V43.4                                                                                                                           ,"
0,",Bladder replaced by other means                                                                                                 ,",,",V43.5                                                                                                                           ,"
0,",Shoulder joint replacement                                                                                                      ,",,",V43.61                                                                                                                          ,"
0,",Elbow joint replacement                                                                                                         ,",,",V43.62                                                                                                                          ,"
0,",Hip joint replacement                                                                                                           ,",,",V43.64                                                                                                                          ,"
0,",Knee joint replacement                                                                                                          ,",,",V43.65                                                                                                                          ,"
0,",Ankle joint replacement                                                                                                         ,",,",V43.66                                                                                                                          ,"
0,",Breast replacement                                                                                                              ,",,",V43.82                                                                                                                          ,"
0,",Other organ or tissue replaced by other means                                                                                   ,",,",V43.89                                                                                                                          ,"
0,",Tracheostomy status                                                                                                             ,",,",V44.0                                                                                                                           ,"
0,",Gastrostomy status                                                                                                              ,",,",V44.1                                                                                                                           ,"
0,",Ileostomy status                                                                                                                ,",,",V44.2                                                                                                                           ,"
0,",Colostomy status                                                                                                                ,",,",V44.3                                                                                                                           ,"
0,",Status of other artificial opening of gastrointestinal tract                                                                    ,",,",V44.4                                                                                                                           ,"
0,",Cystostomy, unspecified                                                                                                         ,",,",V44.50                                                                                                                          ,"
0,",Cutaneous-vesicostomy                                                                                                           ,",,",V44.51                                                                                                                          ,"
0,",Other cystostomy                                                                                                                ,",,",V44.59                                                                                                                          ,"
0,",Other artificial opening of urinary tract status                                                                                ,",,",V44.6                                                                                                                           ,"
0,",Unspecified artificial opening status                                                                                           ,",,",V44.9                                                                                                                           ,"
0,",Unspecified cardiac device in situ                                                                                              ,",,",V45.00                                                                                                                          ,"
0,",Cardiac pacemaker in situ                                                                                                       ,",,",V45.01                                                                                                                          ,"
0,",Automatic implantable cardiac defibrillator in situ                                                                             ,",,",V45.02                                                                                                                          ,"
0,",Other specified cardiac device in situ                                                                                          ,",,",V45.09                                                                                                                          ,"
0,",Renal dialysis status                                                                                                           ,",,",V45.11                                                                                                                          ,"
0,",Noncompliance with renal dialysis                                                                                               ,",,",V45.12                                                                                                                          ,"
0,",Presence of cerebrospinal fluid drainage device                                                                                 ,",,",V45.2                                                                                                                           ,"
0,",Intestinal bypass or anastomosis status                                                                                         ,",,",V45.3                                                                                                                           ,"
0,",Arthrodesis status                                                                                                              ,",,",V45.4                                                                                                                           ,"
0,",Presence of intrauterine contraceptive device                                                                                   ,",,",V45.51                                                                                                                          ,"
0,",Cataract extraction status                                                                                                      ,",,",V45.61                                                                                                                          ,"
0,",Acquired absence of breast and nipple                                                                                           ,",,",V45.71                                                                                                                          ,"
0,",Acquired absence of intestine (large) (small)                                                                                   ,",,",V45.72                                                                                                                          ,"
0,",Acquired absence of kidney                                                                                                      ,",,",V45.73                                                                                                                          ,"
0,",Acquired absence of organ, other parts of urinary tract                                                                         ,",,",V45.74                                                                                                                          ,"
0,",Acquired absence of organ, stomach                                                                                              ,",,",V45.75                                                                                                                          ,"
0,",Acquired absence of organ, lung                                                                                                 ,",,",V45.76                                                                                                                          ,"
0,",Acquired absence of organ, genital organs                                                                                       ,",,",V45.77                                                                                                                          ,"
0,",Acquired absence of organ, eye                                                                                                  ,",,",V45.78                                                                                                                          ,"
0,",Other acquired absence of organ                                                                                                 ,",,",V45.79                                                                                                                          ,"
0,",Aortocoronary bypass status                                                                                                     ,",,",V45.81                                                                                                                          ,"
0,",Percutaneous transluminal coronary angioplasty status                                                                           ,",,",V45.82                                                                                                                          ,"
0,",Dental restoration status                                                                                                       ,",,",V45.84                                                                                                                          ,"
0,",Insulin pump status                                                                                                             ,",,",V45.85                                                                                                                          ,"
0,",Bariatric surgery status                                                                                                        ,",,",V45.86                                                                                                                          ,"
0,",Transplanted organ removal status                                                                                               ,",,",V45.87                                                                                                                          ,"
0,",Status post administration of tPA (rtPA) in a different facility within the last 24 hours prior to admission to current facility,",,",V45.88                                                                                                                          ,"
0,",Other postprocedural status                                                                                                     ,",,",V45.89                                                                                                                          ,"
0,",Dependence on respirator, status                                                                                                ,",,",V46.11                                                                                                                          ,"
0,",Encounter for respirator dependence during power failure                                                                        ,",,",V46.12                                                                                                                          ,"
0,",Encounter for weaning from respirator [ventilator]                                                                              ,",,",V46.13                                                                                                                          ,"
0,",Mechanical complication of respirator [ventilator]                                                                              ,",,",V46.14                                                                                                                          ,"
0,",Other dependence on machines, supplemental oxygen                                                                               ,",,",V46.2                                                                                                                           ,"
0,",Wheelchair dependence                                                                                                           ,",,",V46.3                                                                                                                           ,"
0,",Deficiencies of neck and trunk                                                                                                  ,",,",V48.1                                                                                                                           ,"
0,",Mechanical and motor problems with head                                                                                         ,",,",V48.2                                                                                                                           ,"
0,",Unspecified level upper limb amputation status                                                                                  ,",,",V49.60                                                                                                                          ,"
0,",Thumb amputation status                                                                                                         ,",,",V49.61                                                                                                                          ,"
0,",Other finger(s) amputation status                                                                                               ,",,",V49.62                                                                                                                          ,"
0,",Hand amputation status                                                                                                          ,",,",V49.63                                                                                                                          ,"
0,",Above elbow amputation status                                                                                                   ,",,",V49.66                                                                                                                          ,"
0,",Unspecified level lower limb amputation status                                                                                  ,",,",V49.70                                                                                                                          ,"
0,",Great toe amputation status                                                                                                     ,",,",V49.71                                                                                                                          ,"
0,",Other toe(s) amputation status                                                                                                  ,",,",V49.72                                                                                                                          ,"
0,",Foot amputation status                                                                                                          ,",,",V49.73                                                                                                                          ,"
0,",Below knee amputation status                                                                                                    ,",,",V49.75                                                                                                                          ,"
0,",Above knee amputation status                                                                                                    ,",,",V49.76                                                                                                                          ,"
0,",Asymptomatic postmenopausal status (age-related) (natural)                                                                      ,",,",V49.81                                                                                                                          ,"
0,",Awaiting organ transplant status                                                                                                ,",,",V49.83                                                                                                                          ,"
0,",Bed confinement status                                                                                                          ,",,",V49.84                                                                                                                          ,"
0,",Dual sensory impairment                                                                                                         ,",,",V49.85                                                                                                                          ,"
0,",Do not resuscitate status                                                                                                       ,",,",V49.86                                                                                                                          ,"
0,",Physical restraints status                                                                                                      ,",,",V49.87                                                                                                                          ,"
0,",Other specified conditions influencing health status                                                                            ,",,",V49.89                                                                                                                          ,"
0,",Other plastic surgery for unacceptable cosmetic appearance                                                                      ,",,",V50.1                                                                                                                           ,"
0,",Routine or ritual circumcision                                                                                                  ,",,",V50.2                                                                                                                           ,"
0,",Prophylactic ovary removal                                                                                                      ,",,",V50.42                                                                                                                          ,"
0,",Other prophylactic gland removal                                                                                                ,",,",V50.49                                                                                                                          ,"
0,",Encounter for breast reconstruction following mastectomy                                                                        ,",,",V51.0                                                                                                                           ,"
0,",Other aftercare involving the use of plastic surgery                                                                            ,",,",V51.8                                                                                                                           ,"
0,",Fitting and adjustment of dental prosthetic device                                                                              ,",,",V52.3                                                                                                                           ,"
0,",Fitting and adjustment of breast prosthesis and implant                                                                         ,",,",V52.4                                                                                                                           ,"
0,",Fitting and adjustment of other specified prosthetic device                                                                     ,",,",V52.8                                                                                                                           ,"
0,",Fitting and adjustment of cerebral ventricular (communicating) shunt                                                            ,",,",V53.01                                                                                                                          ,"
0,",Fitting and adjustment of other devices related to nervous system and special senses                                            ,",,",V53.09                                                                                                                          ,"
0,",Fitting and adjustment of cardiac pacemaker                                                                                     ,",,",V53.31                                                                                                                          ,"
0,",Fitting and adjustment of automatic implantable cardiac defibrillator                                                           ,",,",V53.32                                                                                                                          ,"
0,",Fitting and adjustment of other cardiac device                                                                                  ,",,",V53.39                                                                                                                          ,"
0,",Fitting and adjustment of gastric lap band                                                                                      ,",,",V53.51                                                                                                                          ,"
0,",Fitting and adjustment of other gastrointestinal appliance and device                                                           ,",,",V53.59                                                                                                                          ,"
0,",Fitting and adjustment of urinary devices                                                                                       ,",,",V53.6                                                                                                                           ,"
0,",Fitting and adjustment of orthopedic devices                                                                                    ,",,",V53.7                                                                                                                           ,"
0,",Fitting and adjustment of insulin pump                                                                                          ,",,",V53.91                                                                                                                          ,"
0,",Fitting and adjustment, other device                                                                                            ,",,",V53.99                                                                                                                          ,"
0,",Encounter for removal of internal fixation device                                                                               ,",,",V54.01                                                                                                                          ,"
0,",Encounter for lengthening/adjustment of growth rod                                                                              ,",,",V54.02                                                                                                                          ,"
0,",Other aftercare involving internal fixation device                                                                              ,",,",V54.09                                                                                                                          ,"
0,",Aftercare for healing traumatic fracture of arm, unspecified                                                                    ,",,",V54.10                                                                                                                          ,"
0,",Aftercare for healing traumatic fracture of upper arm                                                                           ,",,",V54.11                                                                                                                          ,"
0,",Aftercare for healing traumatic fracture of lower arm                                                                           ,",,",V54.12                                                                                                                          ,"
0,",Aftercare for healing traumatic fracture of hip                                                                                 ,",,",V54.13                                                                                                                          ,"
0,",Aftercare for healing traumatic fracture of upper leg                                                                           ,",,",V54.15                                                                                                                          ,"
0,",Aftercare for healing traumatic fracture of lower leg                                                                           ,",,",V54.16                                                                                                                          ,"
0,",Aftercare for healing traumatic fracture of vertebrae                                                                           ,",,",V54.17                                                                                                                          ,"
0,",Aftercare for healing traumatic fracture of other bone                                                                          ,",,",V54.19                                                                                                                          ,"
0,",Aftercare for healing pathologic fracture of lower leg                                                                          ,",,",V54.26                                                                                                                          ,"
0,",Aftercare for healing pathologic fracture of vertebrae                                                                          ,",,",V54.27                                                                                                                          ,"
0,",Aftercare following joint replacement                                                                                           ,",,",V54.81                                                                                                                          ,"
0,",Aftercare following explantation of joint prosthesis                                                                            ,",,",V54.82                                                                                                                          ,"
0,",Other orthopedic aftercare                                                                                                      ,",,",V54.89                                                                                                                          ,"
0,",Unspecified orthopedic aftercare                                                                                                ,",,",V54.9                                                                                                                           ,"
0,",Attention to tracheostomy                                                                                                       ,",,",V55.0                                                                                                                           ,"
0,",Attention to gastrostomy                                                                                                        ,",,",V55.1                                                                                                                           ,"
0,",Attention to other artificial opening of digestive tract                                                                        ,",,",V55.4                                                                                                                           ,"
0,",Attention to other artificial opening of urinary tract                                                                          ,",,",V55.6                                                                                                                           ,"
0,",Attention to other specified artificial opening                                                                                 ,",,",V55.8                                                                                                                           ,"
0,",Fitting and adjustment of extracorporeal dialysis catheter                                                                      ,",,",V56.1                                                                                                                           ,"
0,",Fitting and adjustment of peritoneal dialysis catheter                                                                          ,",,",V56.2                                                                                                                           ,"
